N,Method,Iterations,FinalAvgPayoff,FinalResidual,q_hat,q_th,L_U,RuntimeSec
20,Greedy,2,0.8325,0,NaN,NaN,NaN,0.0847585
20,Fixed-weight IT2,26,0.728044033950185,7.63722860395062e-05,0.726208860678783,1.43197409740678,0.24399136580226,0.0267186
20,Proposed IT2-W-FBRI,26,0.741732088646829,9.03494903380271e-05,0.730239180108085,1.4324537112526,0.244151237084201,0.0157692
50,Greedy,2,0.8325,0,NaN,NaN,NaN,0.0091208
50,Fixed-weight IT2,26,0.724135065327787,8.20213928645029e-05,0.729121374300098,1.43197409740678,0.24399136580226,0.0350838
50,Proposed IT2-W-FBRI,26,0.737869228415559,9.57148634635075e-05,0.732713844260454,1.4324537112526,0.244151237084201,0.025224
100,Greedy,2,0.8325,0,NaN,NaN,NaN,0.011725
100,Fixed-weight IT2,26,0.722767080207793,8.42052071223683e-05,0.730063827915069,1.43197409740678,0.24399136580226,0.066655
100,Proposed IT2-W-FBRI,26,0.736522348545171,9.76626522490448e-05,0.733465836815495,1.4324537112526,0.244151237084201,0.0637618
