alpha,delta,AvgPayoff,TheoreticalBound,EpsRequired,RobustIncrement,PassRatePct
0.3,0,0.737869228415559,0,0.038023718613312,0,100
0.3,0.05,0.742160135801574,0.0534968888531817,0.0871585630849864,0.0491349326828922,100
0.3,0.1,0.746460601605628,0.105780101603502,0.135221358326917,0.0971977938201407,100
0.3,0.2,0.754986278613173,0.206568690454269,0.22808781976806,0.190064295728364,100
0.5,0,0.737869228415559,0,0.038023718613312,0,100
0.5,0.05,0.740939129039503,0.0383331863928269,0.0732251409077466,0.0352015150275045,100
0.5,0.1,0.744014975076641,0.0760528667319681,0.107882882907013,0.0698593249733159,100
0.5,0.2,0.750140677181883,0.149596507828509,0.17554921172634,0.137525697597665,100
0.8,0,0.737869228415559,0,0.038023718613312,0,100
0.8,0.05,0.739110123963336,0.0154052065538326,0.0521629593889467,0.0141393401775562,100
0.8,0.1,0.740329067805183,0.0307147057100502,0.0662259428541195,0.0282023192119711,100
0.8,0.2,0.742770961535664,0.0610418352755798,0.094092645248779,0.0560690125628414,100
1,0,0.737869228415559,0,0.038023718613312,0,100
1,0.05,0.737869228415559,0,0.038023718613312,2.22044604925031e-16,100
1,0.1,0.737869228415559,0,0.038023718613312,2.22044604925031e-16,100
1,0.2,0.737869228415559,0,0.038023718613312,2.22044604925031e-16,100
